ticker,close,open,high,low,volume,change_%,value_traded,rvol,atr,perf_1m,perf_3m,volatility,tarih,z_vol,z_range,z_lambda,z_flow,shock_count,is_fresh_shock,shock_score,regime,score_diff
CEMZY,15.4,16.35,16.5,15.15,47140136.0,-6.666666666666665,725958094.4,0.42478097589231456,1.0,26.229508196721323,16.13876319758673,8.910891089108908,2026-08-31,-1.27,0.87,0.18,0.0,0,False,0.0,NÖTR REJİM,0.0
TCKRC,147.6,159.0,160.8,147.6,4809079.0,-10.000000000000004,709820060.4,1.8632694219302548,1.0,4.680851063829783,-7.576706324358169,11.111111111111114,2026-08-31,1.9,6.0,0.26,0.0,2,True,0.0,🚨 KURUMSAL BOŞALTIM (DUMP),0.0
ECILC,78.25,79.0,80.85,77.35,8739158.0,0.0,683839113.5,1.612686711845676,1.0,16.96562032884902,-10.673515981735154,4.524886877828054,2026-08-31,1.35,6.0,0.0,0.0,1,False,0.0,NÖTR REJİM,0.0
DAPGM,7.9,8.57,8.62,7.86,84455375.0,-8.139534883720923,667197462.5,0.9479825489327122,1.0,-10.125142207053457,-20.999999999999996,9.669211195928739,2026-08-31,-0.11,-0.6,0.23,0.0,0,False,0.0,NÖTR REJİM,0.0
ENJSA,110.9,118.1,118.3,110.4,5702962.0,-5.937234944868532,632458485.8000001,1.2610710414278417,1.0,-0.09009009009008496,-1.6843971631205599,7.1557971014492665,2026-08-31,0.57,6.0,0.18,0.0,1,True,0.0,NÖTR REJİM,0.0
LIDER,33.72,32.0,34.26,31.04,18636834.0,5.3091817613991115,628434042.48,0.520920571139528,1.0,-64.31746031746032,-70.36906854130054,10.373711340206182,2026-08-31,-1.05,5.55,0.16,2.42,2,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
EKDMR,48.06,48.2,49.58,47.08,12912764.0,0.12500000000000472,620587437.84,1.4779564427642866,1.0,1.8220338983050834,-29.271523178807946,5.310110450297366,2026-08-31,1.05,3.75,0.0,0.0,1,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
BTCIM,4.09,4.54,4.54,4.09,151581983.0,-9.911894273127757,619970310.47,1.9059016917258929,1.0,-16.53061224489797,-36.09375000000001,11.002444987775066,2026-08-31,1.99,-1.37,0.3,0.0,1,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
GIPTA,84.85,92.0,93.0,84.85,7270557.0,-9.973474801061014,616906761.4499999,0.7493241217432057,1.0,45.54030874785591,6.729559748427666,11.078373600471428,2026-08-31,-0.55,6.0,0.3,0.0,1,False,0.0,NÖTR REJİM,0.0
ORZAX,89.5,97.1,98.4,88.65,6684293.0,-9.137055837563452,598244223.5,0.8485761753334415,1.0,-12.082514734774065,17.918313570487477,11.111111111111104,2026-08-31,-0.33,6.0,0.28,0.0,1,True,0.0,NÖTR REJİM,0.0
AKSEN,79.9,83.35,83.35,78.75,6878917.0,-4.139172165566873,549625468.3000001,0.8907389739454088,1.0,-17.628865979381438,3.2967032967033116,5.841269841269834,2026-08-31,-0.24,6.0,0.15,0.0,1,True,0.0,NÖTR REJİM,0.0
CVKMD,16.4,16.66,16.82,16.2,33236293.0,-0.7263922518159867,545075205.1999999,0.8428116369290664,1.0,14.182835471384632,-9.732854205891321,3.827160493827167,2026-08-31,-0.35,-0.95,0.03,0.0,0,True,0.0,NÖTR REJİM,0.0
ALBTN,34.9,35.46,35.76,33.7,14773035.0,-0.9648127128263434,515578921.5,0.5415783522968036,1.0,4.6790641871625525,-6.182795698924743,6.112759643916899,2026-08-31,-1.01,2.65,0.04,0.36,1,True,0.0,NÖTR REJİM,0.0
TRMET,143.2,143.0,145.5,142.1,3574709.0,-2.3858214042263124,511898328.79999995,0.49824153808630467,1.0,11.180124223602466,25.61403508771929,3.2371569317382085,2026-08-31,-1.1,6.0,0.09,0.11,1,True,0.0,NÖTR REJİM,0.0
OYAKC,22.54,23.0,23.1,22.46,22483952.0,-2.000000000000004,506788278.08,0.8648909675551362,1.0,7.3333333333333295,9.20542635658914,2.849510240427429,2026-08-31,-0.3,-0.9,0.08,0.0,0,True,0.0,NÖTR REJİM,0.0
OBAMS,5.82,5.52,5.92,5.44,85259162.0,5.434782608695665,496208322.84000003,1.4147812296524152,1.0,22.52631578947369,-29.11084043848965,8.823529411764698,2026-08-31,0.91,-1.3,0.21,2.41,1,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
KPEKS,122.5,122.5,128.2,122.5,3937357.0,-9.992652461425418,482326232.5,1.0,1.0,18.471953578336553,18.471953578336553,11.102040816326527,2026-08-31,0.0,6.0,0.38,0.0,1,True,0.0,NÖTR REJİM,0.0
